Entity,Code,Year, (% of GDP)
France,2003,10.42832417,
France,2004,10.53472683,
France,2005,10.59988615,
France,2006,10.52922033,
France,2007,10.44898821,
France,2008,10.5698701,
France,2009,11.28059369,
France,2010,11.19721933,
France,2011,11.33488998,
France,2012,11.43898967,
France,2013,11.56028303,
Gabon,2003,3.47902086,
Gabon,2004,3.25513645,
Gabon,2005,2.75520343,
Gabon,2006,2.88201626,
Gabon,2007,2.8583196,
Gabon,2008,2.535878,
Gabon,2009,3.42794074,
Gabon,2010,3.4057095,
Gabon,2011,3.12257014,
Gabon,2012,3.13156309,
Gabon,2013,3.98331084,
Gambia,2003,4.21918804,
Gambia,2004,4.3519662,
Gambia,2005,4.96685998,
Gambia,2006,5.52277969,
Gambia,2007,5.76134541,
Gambia,2008,5.9455552,
Gambia,2009,5.84983434,
Gambia,2010,5.75051063,
Gambia,2011,6.24125427,
Gambia,2012,6.12343327,
Gambia,2013,6.49113393,
Georgia,2003,8.48522551,
Georgia,2004,8.53107694,
Georgia,2005,8.59882617,
Georgia,2006,8.39422247,
Georgia,2007,8.16731799,
Georgia,2008,8.99319466,
Georgia,2009,10.19421933,
Georgia,2010,10.05158367,
Georgia,2011,9.38218863,
Georgia,2012,8.57085151,
Georgia,2013,7.2473647,
Germany,2003,10.61578862,
Germany,2004,10.37086787,
Germany,2005,10.51754561,
Germany,2006,10.34100073,
Germany,2007,10.1804053,
Germany,2008,10.39246762,
Germany,2009,11.40325491,
Germany,2010,11.25156004,
Germany,2011,10.93273699,
Germany,2012,10.99191973,
Germany,2013,11.16480314,
Ghana,2003,3.12389313,
Ghana,2004,3.95738509,
Ghana,2005,4.50784786,
Ghana,2006,4.63638188,
Ghana,2007,5.30044343,
Ghana,2008,4.85068811,
Ghana,2009,5.17304409,
Ghana,2010,5.33452117,
Ghana,2011,4.80741948,
Ghana,2012,4.7900551,
Ghana,2013,4.62620018,
Greece,2003,8.60848417,
Greece,2004,8.30236873,
Greece,2005,9.36146591,
Greece,2006,9.33528442,
Greece,2007,9.4084693,
Greece,2008,9.75879775,
Greece,2009,9.76326668,
Greece,2010,9.18486746,
Greece,2011,9.77188991,
Greece,2012,9.24254484,
Greece,2013,9.25694494,
Grenada,2003,5.89385798,
Grenada,2004,5.23515143,
Grenada,2005,5.50415611,
Grenada,2006,5.99301739,
Grenada,2007,5.87601597,
Grenada,2008,5.76329049,
Grenada,2009,6.24465331,
Grenada,2010,6.40660082,
Grenada,2011,6.34947937,
Grenada,2012,6.35657502,
Grenada,2013,6.1524108,
Guatemala,2003,6.88412953,
Guatemala,2004,6.77302634,
Guatemala,2005,6.78948738,
Guatemala,2006,7.07207735,
Guatemala,2007,6.85595784,
Guatemala,2008,6.64882824,
Guatemala,2009,6.78776437,
Guatemala,2010,6.63841729,
Guatemala,2011,6.28384359,
Guatemala,2012,6.32933891,
Guatemala,2013,6.29628068,
Guinea,2003,3.44611461,
Guinea,2004,3.13747392,
Guinea,2005,2.82148862,
Guinea,2006,3.02029095,
Guinea,2007,3.07812234,
Guinea,2008,3.2070461,
Guinea,2009,3.84851388,
Guinea,2010,4.54713891,
Guinea,2011,4.73099737,
Guinea,2012,5.39134293,
Guinea,2013,5.49316028,
Guinea-Bissau,2003,5.61914548,
Guinea-Bissau,2003,5.61914548,
Guinea-Bissau,2004,5.41321192,
Guinea-Bissau,2004,5.41321192,
Guinea-Bissau,2005,5.71621565,
Guinea-Bissau,2005,5.71621565,
Guinea-Bissau,2006,5.8746927,
Guinea-Bissau,2006,5.8746927,
Guinea-Bissau,2007,6.1035278,
Guinea-Bissau,2007,6.1035278,
Guinea-Bissau,2008,6.04978909,
Guinea-Bissau,2008,6.04978909,
Guinea-Bissau,2009,6.80645346,
Guinea-Bissau,2009,6.80645346,
Guinea-Bissau,2010,6.69821693,
Guinea-Bissau,2010,6.69821693,
Guinea-Bissau,2011,5.45611123,
Guinea-Bissau,2011,5.45611123,
Guinea-Bissau,2012,5.96143163,
Guinea-Bissau,2012,5.96143163,
Guinea-Bissau,2013,6.13947839,
Guinea-Bissau,2013,6.13947839,
Guyana,2003,5.96831608,
Guyana,2004,5.72841269,
Guyana,2005,5.82749382,
Guyana,2006,4.66920858,
Guyana,2007,6.45346258,
Guyana,2008,7.46423673,
Guyana,2009,7.32019596,
Guyana,2010,6.60294394,
Guyana,2011,6.79708665,
Guyana,2012,6.56510789,
Guyana,2013,5.09615344,
Haiti,2003,5.31704135,
Haiti,2004,5.61151004,
Haiti,2005,4.40741512,
Haiti,2006,5.69978142,
Haiti,2007,5.55702995,
Haiti,2008,5.92248802,
Haiti,2009,6.6786433,
Haiti,2010,8.09463583,
Haiti,2011,10.41487851,
Haiti,2012,9.88320415,
Haiti,2013,8.10279783,
Honduras,2003,8.29433272,
Honduras,2004,7.88885252,
Honduras,2005,7.81458832,
Honduras,2006,7.63244921,
Honduras,2007,7.89426555,
Honduras,2008,8.40137585,
Honduras,2009,8.84061142,
Honduras,2010,8.4510228,
Honduras,2011,8.56802118,
Honduras,2012,9.7798508,
Honduras,2013,9.15018328,
Hungary,2003,8.42191484,
Hungary,2004,8.08316836,
Hungary,2005,8.27979357,
